dataset	sample	protein	intensities	group	ocular.region	labeling	instrument
272	Data7	NC1	P01742	-1.03323014121292	NC	vitreous	Yes	Orbitrap Fusion
273	Data7	NC1	P01762	-0.803106924765109	NC	vitreous	Yes	Orbitrap Fusion
274	Data7	NC1	P01763	-0.984417451387113	NC	vitreous	Yes	Orbitrap Fusion
275	Data7	NC1	P01765	0.354096974896805	NC	vitreous	Yes	Orbitrap Fusion
276	Data7	NC1	P01766	-1.12450274140859	NC	vitreous	Yes	Orbitrap Fusion
277	Data7	NC1	P01767	0.110630344656729	NC	vitreous	Yes	Orbitrap Fusion
278	Data7	NC1	P01770	-0.621820935670091	NC	vitreous	Yes	Orbitrap Fusion
279	Data7	NC1	P01775	-0.632840084358671	NC	vitreous	Yes	Orbitrap Fusion
280	Data7	NC1	P01776	-0.589048978775926	NC	vitreous	Yes	Orbitrap Fusion
281	Data7	NC1	P01780	-0.571182509476898	NC	vitreous	Yes	Orbitrap Fusion
282	Data7	NC1	P01781	0.144000512899787	NC	vitreous	Yes	Orbitrap Fusion
283	Data7	NC1	P01815	-0.900033289801704	NC	vitreous	Yes	Orbitrap Fusion
284	Data7	NC1	P01824	-0.391659483317474	NC	vitreous	Yes	Orbitrap Fusion
285	Data7	NC1	P01833	-2.93179009491948	NC	vitreous	Yes	Orbitrap Fusion
286	Data7	NC1	P01859	1.91598748455594	NC	vitreous	Yes	Orbitrap Fusion
287	Data7	NC1	P01876	1.58182567355452	NC	vitreous	Yes	Orbitrap Fusion
